"X","Gender","Race","Current.Age","TDCJ.Offense","Sentenced.Years","Sentence.Date","Year.of.Sentence","Sentenced.Age"
102,"M","B",68,"MURDER",99,"10/6/1981",1981,26
103,"M","W",76,"MURDER",50,"12/15/2015",2015,68
104,"M","B",66,"AGG ROBBERY",50,"3/15/1982",1982,25
105,"M","H",66,"MURDER",15,"1/20/2016",2016,59
106,"M","H",66,"MURDER",50,"5/22/2019",2019,62
107,"M","W",69,"MURDER",60,"5/2/2001",2001,47
108,"M","W",67,"MURDER",50,"6/3/1999",1999,43
109,"M","W",66,"AGG ROBBERY",99,"3/25/1994",1994,37
110,"M","W",66,"MURDER",99,"6/14/2006",2006,49
111,"M","H",75,"MURDER",99,"6/3/1999",1999,51
112,"M","W",67,"MURDER",99,"8/1/2018",2018,62
113,"M","W",67,"AGG ROBBERY",45,"9/19/2008",2008,52
114,"M","H",67,"MURDER",99,"8/29/1994",1994,38
115,"M","B",66,"MURDER",99,"9/26/1980",1980,23
116,"M","H",66,"AGG ROBBERY",90,"3/4/2003",2003,46
117,"M","H",65,"MURDER",25,"5/1/2013",2013,55
118,"M","B",66,"MURDER",99,"12/11/1978",1978,21
119,"M","W",68,"MURDER",99,"4/11/1995",1995,40
120,"M","H",68,"MURDER",99,"2/7/2008",2008,53
121,"M","W",67,"MURDER",30,"10/6/2004",2004,48
122,"M","W",66,"MURDER",40,"5/14/2004",2004,47
123,"M","W",66,"MURDER",45,"5/6/2011",2011,54
124,"M","B",66,"MURDER",99,"3/30/1989",1989,32
125,"M","B",68,"AGG ROBBERY",99,"12/3/1999",1999,44
126,"M","W",66,"MURDER",99,"3/29/1996",1996,39
127,"M","B",65,"AGG ROBBERY",18,"4/11/2014",2014,56
128,"M","H",68,"AGG ROBBERY",35,"8/24/1979",1979,24
129,"M","B",65,"AGG ROBBERY",60,"5/1/2002",2002,44
130,"M","W",71,"MURDER",15,"8/22/2022",2022,70
131,"M","W",66,"MURDER",35,"12/17/2004",2004,47
132,"M","B",64,"AGG ROBBERY",12,"7/17/2020",2020,61
133,"M","H",65,"MURDER",50,"4/19/2006",2006,48
134,"M","W",65,"MURDER",75,"1/13/1994",1994,36
135,"M","B",66,"AGG ROBBERY",50,"10/30/1987",1987,30
136,"M","B",65,"MURDER",50,"4/20/2000",2000,42
137,"F","B",67,"MURDER",25,"6/10/2002",2002,46
138,"M","H",66,"MURDER",30,"10/18/2019",2019,62
139,"M","B",65,"AGG ROBBERY",10,"1/31/2019",2019,61
140,"M","B",67,"MURDER",35,"9/12/2011",2011,55
141,"M","W",65,"MURDER",30,"5/27/2004",2004,46
142,"M","B",67,"MURDER",35,"3/7/2019",2019,63
143,"M","W",67,"MURDER",25,"3/16/2018",2018,62
144,"M","H",65,"AGG ROBBERY",5,"7/28/2020",2020,62
145,"M","B",65,"AGG ROBBERY",60,"2/20/1981",1981,23
146,"M","B",65,"AGG ROBBERY",99,"9/22/1987",1987,29
147,"M","W",80,"MURDER",30,"12/12/2018",2018,75
148,"M","W",64,"MURDER",40,"10/7/2005",2005,46
149,"M","B",65,"MURDER",30,"11/5/2012",2012,54
150,"M","B",65,"MURDER",30,"11/4/2004",2004,46
151,"M","B",65,"MURDER",90,"3/22/1994",1994,36
152,"M","H",70,"MURDER",35,"9/29/2003",2003,50
153,"M","H",70,"MURDER",99,"5/2/2008",2008,55
154,"M","W",66,"MURDER",99,"8/24/2007",2007,50
155,"M","W",77,"MURDER",99,"4/1/1987",1987,41
156,"F","B",67,"MURDER",99,"10/30/1996",1996,40
157,"M","H",65,"MURDER",40,"5/16/2008",2008,50
158,"M","H",64,"MURDER",35,"3/1/1999",1999,40
159,"M","B",64,"AGG ROBBERY",30,"8/29/1994",1994,35
160,"M","B",71,"MURDER",30,"7/3/2019",2019,67
161,"M","B",66,"MURDER",50,"7/10/1998",1998,41
162,"M","B",70,"MURDER",99,"8/24/2000",2000,47
163,"M","H",67,"MURDER",99,"12/12/2002",2002,46
164,"M","H",65,"MURDER",30,"6/22/2022",2022,64
165,"M","B",65,"MURDER",50,"11/24/1980",1980,22
166,"M","B",67,"MURDER",35,"1/21/2005",2005,49
167,"M","B",66,"AGG ROBBERY",20,"2/11/2013",2013,56
168,"M","B",63,"AGG ROBBERY",45,"11/5/1984",1984,24
169,"M","B",64,"AGG ROBBERY",60,"12/19/2001",2001,42
170,"M","B",64,"AGG ROBBERY",99,"1/16/1991",1991,32
171,"F","W",71,"MURDER",50,"10/25/1999",1999,47
172,"M","B",66,"MURDER",60,"8/17/2009",2009,52
173,"M","W",64,"MURDER",25,"8/5/1983",1983,24
174,"M","W",65,"MURDER",28,"6/12/2019",2019,61
175,"M","H",66,"AGG ROBBERY",5,"12/1/2021",2021,64
176,"M","B",65,"AGG ROBBERY",35,"8/12/2004",2004,46
177,"M","W",67,"MURDER",20,"7/1/2013",2013,57
178,"M","B",64,"MURDER",40,"5/21/2015",2015,56
179,"M","B",64,"AGG ROBBERY",35,"2/21/2006",2006,47
180,"M","W",68,"MURDER",30,"9/27/2002",2002,47
181,"M","B",64,"MURDER",40,"8/16/2013",2013,54
182,"M","B",66,"AGG ROBBERY",80,"8/24/1994",1994,37
183,"M","B",64,"MURDER",30,"8/1/2016",2016,57
184,"M","B",64,"MURDER",12,"10/17/2019",2019,60
185,"M","H",63,"AGG ROBBERY",99,"3/25/1987",1987,27
186,"M","H",65,"MURDER",40,"2/13/1997",1997,39
187,"M","W",68,"MURDER",35,"6/28/1999",1999,44
188,"M","H",66,"MURDER",20,"11/13/2017",2017,60
189,"M","W",67,"MURDER",50,"1/12/1998",1998,42
190,"M","B",67,"AGG ROBBERY",35,"6/19/2006",2006,50
191,"M","B",64,"AGG ROBBERY",60,"2/6/2004",2004,45
192,"M","H",69,"MURDER",60,"12/18/2003",2003,49
193,"M","W",65,"MURDER",60,"6/19/2012",2012,54
194,"M","H",64,"AGG ROBBERY",15,"12/6/2019",2019,60
195,"M","W",63,"MURDER",45,"11/7/2008",2008,48
196,"M","B",65,"MURDER",40,"7/10/2017",2017,59
197,"M","H",63,"AGG ROBBERY",40,"10/7/2015",2015,55
198,"M","B",63,"AGG ROBBERY",35,"11/11/1992",1992,32
199,"M","H",69,"MURDER",85,"11/15/1983",1983,29
200,"M","H",63,"MURDER",20,"4/14/2022",2022,62
201,"M","H",64,"MURDER",99,"12/6/1990",1990,31
202,"M","B",64,"MURDER",35,"2/9/2017",2017,58
203,"M","H",64,"MURDER",99,"10/7/2008",2008,49
204,"M","H",67,"AGG ROBBERY",6,"12/8/2020",2020,64
205,"M","W",64,"MURDER",30,"2/19/1998",1998,39
206,"M","B",63,"AGG ROBBERY",8,"3/17/2017",2017,57
207,"M","B",64,"AGG ROBBERY",20,"3/7/2005",2005,46
208,"M","B",66,"MURDER",99,"7/21/1983",1983,26
209,"M","B",65,"MURDER",50,"4/26/1993",1993,35
210,"M","H",64,"MURDER",99,"12/5/1996",1996,37
211,"F","H",63,"MURDER",99,"2/7/2003",2003,43
212,"M","H",66,"MURDER",65,"2/17/1998",1998,41
213,"M","H",63,"AGG ROBBERY",50,"12/21/2005",2005,45
214,"M","W",65,"MURDER",35,"8/30/2018",2018,60
215,"M","H",65,"MURDER",60,"3/29/1993",1993,35
216,"M","B",70,"MURDER",27,"12/6/2004",2004,51
217,"M","W",63,"MURDER",63,"5/9/2000",2000,40
218,"M","B",62,"MURDER",45,"1/7/2013",2013,52
219,"M","W",64,"MURDER",102,"11/5/1979",1979,20
220,"M","B",63,"MURDER",50,"2/16/1989",1989,29
221,"M","B",63,"MURDER",40,"8/10/2015",2015,55
222,"M","B",63,"AGG ROBBERY",58,"12/2/1987",1987,27
223,"M","W",63,"MURDER",45,"5/5/2003",2003,43
224,"M","W",66,"MURDER",40,"9/12/2003",2003,46
225,"M","W",63,"AGG ROBBERY",50,"7/5/2006",2006,46
226,"M","W",63,"MURDER",30,"9/24/2007",2007,47
227,"M","B",64,"MURDER",10,"2/4/2015",2015,56
228,"F","B",67,"MURDER",70,"3/9/1984",1984,28
229,"M","W",67,"MURDER",60,"1/14/2000",2000,44
230,"M","W",64,"AGG ROBBERY",60,"9/21/1994",1994,35
231,"M","B",62,"AGG ROBBERY",45,"9/28/2006",2006,45
232,"F","H",55,"MURDER",20,"1/26/2017",2017,49
233,"F","O",65,"MURDER",50,"7/16/2003",2003,45
234,"M","W",66,"MURDER",45,"8/18/2006",2006,49
235,"M","W",63,"AGG ROBBERY",75,"10/15/2015",2015,55
236,"M","H",66,"MURDER",60,"2/21/2003",2003,46
237,"M","H",62,"AGG ROBBERY",50,"10/23/2002",2002,41
238,"M","B",64,"AGG ROBBERY",55,"5/9/1985",1985,26
239,"M","B",63,"AGG ROBBERY",25,"10/21/2013",2013,53
240,"M","B",65,"MURDER",35,"4/17/1986",1986,28
241,"M","W",62,"AGG ROBBERY",75,"6/28/1996",1996,35
242,"M","B",66,"MURDER",50,"9/23/2011",2011,54
243,"M","H",64,"MURDER",24,"4/26/2004",2004,45
244,"M","H",62,"MURDER",40,"6/21/1999",1999,38
245,"M","H",62,"MURDER",23,"4/4/2011",2011,50
246,"M","H",66,"MURDER",99,"1/20/1989",1989,32
247,"M","W",68,"MURDER",50,"2/16/1994",1994,39
248,"M","B",63,"AGG ROBBERY",50,"8/30/2005",2005,45
249,"M","H",65,"AGG ROBBERY",40,"8/4/1995",1995,37
250,"M","B",65,"AGG ROBBERY",20,"5/25/2004",2004,46
251,"M","B",62,"AGG ROBBERY",15,"6/5/2019",2019,58
252,"M","W",66,"AGG ROBBERY",45,"2/21/2001",2001,44
253,"M","H",62,"AGG ROBBERY",45,"5/18/2010",2010,49
254,"M","B",65,"AGG ROBBERY",75,"7/22/1999",1999,41
255,"M","B",62,"MURDER",40,"9/1/2005",2005,44
256,"M","H",69,"MURDER",40,"8/3/2000",2000,46
257,"M","W",63,"MURDER",40,"11/9/2010",2010,50
258,"M","W",63,"MURDER",30,"7/23/2019",2019,59
259,"M","W",63,"MURDER",40,"7/23/1985",1985,25
260,"M","B",64,"AGG ROBBERY",61,"1/13/1998",1998,39
261,"M","H",63,"MURDER",50,"6/14/2002",2002,42
262,"M","H",68,"MURDER",17,"9/6/2007",2007,52
263,"M","B",63,"AGG ROBBERY",75,"7/9/1979",1979,19
264,"M","H",70,"MURDER",45,"3/20/1998",1998,45
265,"M","W",67,"MURDER",35,"4/30/2012",2012,56
266,"M","H",65,"MURDER",55,"7/24/1998",1998,40
267,"M","W",63,"AGG ROBBERY",40,"2/21/2012",2012,52
268,"M","W",62,"MURDER",75,"12/10/2004",2004,43
269,"M","H",62,"AGG ROBBERY",15,"2/12/2018",2018,57
270,"M","W",64,"AGG ROBBERY",30,"4/3/2001",2001,42
271,"M","B",63,"AGG ROBBERY",50,"7/10/1984",1984,24
272,"M","H",62,"MURDER",35,"12/13/2017",2017,56
273,"M","W",76,"MURDER",20,"12/20/2011",2011,64
274,"M","B",65,"MURDER",75,"1/5/1979",1979,21
275,"M","W",62,"MURDER",99,"8/14/1981",1981,20
276,"M","B",62,"AGG ROBBERY",30,"10/24/1994",1994,33
277,"M","H",61,"AGG ROBBERY",33,"5/2/2007",2007,45
278,"M","B",62,"MURDER",30,"1/31/2008",2008,47
279,"M","B",67,"AGG ROBBERY",25,"9/15/2005",2005,49
280,"M","W",62,"MURDER",60,"12/4/1985",1985,24
281,"M","W",62,"MURDER",99,"2/23/2009",2009,48
282,"M","W",63,"MURDER",40,"4/28/2005",2005,45
283,"M","W",62,"AGG ROBBERY",35,"3/4/2004",2004,43
284,"M","B",61,"AGG ROBBERY",48,"1/18/2012",2012,50
285,"M","B",63,"MURDER",27,"3/16/2020",2020,60
286,"M","B",62,"MURDER",30,"6/5/2012",2012,51
287,"M","B",68,"AGG ROBBERY",75,"2/2/2000",2000,45
288,"M","W",61,"MURDER",60,"9/8/1992",1992,30
289,"M","H",62,"MURDER",99,"8/11/1999",1999,38
290,"F","W",62,"MURDER",30,"12/13/2006",2006,45
291,"M","H",62,"MURDER",50,"12/1/2011",2011,50
292,"M","H",69,"MURDER",99,"11/15/2000",2000,46
293,"M","W",66,"MURDER",99,"3/12/1984",1984,27
294,"M","H",62,"MURDER",40,"6/22/2010",2010,49
295,"M","W",62,"AGG ROBBERY",50,"4/19/2018",2018,57
296,"M","B",62,"AGG ROBBERY",30,"8/23/2006",2006,45
297,"M","W",62,"MURDER",60,"5/7/2000",2000,39
298,"M","B",62,"AGG ROBBERY",20,"5/6/2019",2019,58
299,"M","W",61,"MURDER",99,"3/9/2000",2000,38
300,"M","W",68,"MURDER",99,"7/27/2001",2001,46
301,"M","B",61,"AGG ROBBERY",30,"4/1/2005",2005,43
302,"M","B",65,"AGG ROBBERY",36,"4/5/2007",2007,49
303,"M","H",64,"MURDER",25,"10/23/2008",2008,49
